ID_PARCEL	Estimation
10016305	25.15
10016306	18.94
10016307	24.93
10016353	17.96
3006321	13.94
3006316	6.98
3006314	5.79
10016479	16.69
10016480	18.98
10016481	24.22
10016482	20.15
3006239	11.54
3006238	12.41
3053176	26.24
3053258	28.19
3053364	27.93
10016515	16.54
3053357	27.97
3051952	12.27
3448744	12.65
3448202	12.74
10016519	5.07
10016520	6.79
10016521	14.46
10016522	4.77
3053265	25.69
3053276	26.88
10016523	9.03
10016524	8.86
10016525	9.99
10016526	9.94
3053374	28.17
10016527	18.40
10016528	17.16
10016529	17.54
10016539	10.08
3447860	16.69
3448913	13.47
3448122	16.00
3448830	10.20
10016540	5.98
10016541	10.98
10016542	10.36
10016543	6.64
10016544	6.42
10016545	6.52
3051960	18.97
3053277	16.07
10016546	5.96
10016547	15.05
2989535	18.50
10016549	16.46
10016556	10.78
2989540	17.70
2989541	13.23
2989539	12.08
2989450	10.47
2989538	13.78
2989447	15.82
2989448	16.87
10016557	14.84
2989533	15.98
2988759	19.18
2988761	9.44
2988762	4.08
2988758	7.89
10016572	10.30
2988765	8.54
2988756	23.27
2988757	3.27
2988755	12.25
2988754	7.32
2988763	13.05
10016573	18.62
3447862	11.01
3448741	14.30
10016668	8.41
3448903	10.56
3448019	10.63
10016697	8.82
10016698	5.68
10016699	5.72
3053178	27.07
3014050	10.29
3014127	5.65
3014051	3.51
3014128	14.21
3062685	5.42
3053183	24.84
3051955	17.17
3053269	28.20
10016717	11.32
3447066	10.61
3448837	10.08
3447853	13.06
3447866	14.33
3447861	14.41
10016718	8.81
3053181	26.87
3053355	26.29
3053185	8.43
3053262	27.82
3051958	27.56
3015753	8.03
3015750	22.33
3015742	3.71
3015939	15.89
3015743	5.59
3015843	5.20
3015833	16.74
3015841	10.81
3015745	8.19
3015834	10.28
3015836	17.53
3015941	7.52
10016781	27.14
3015837	11.09
3015840	9.95
3015754	8.01
10016805	16.81
10016806	6.79
2999313	8.62
3015936	9.83
3015937	8.36
3015848	9.77
3015759	6.45
3015831	11.94
3015942	11.34
3015849	9.78
3015846	9.02
3015744	14.94
3015758	11.15
3015934	10.44
3015747	16.81
3015940	13.58
3015844	9.13
3015944	10.17
3015946	18.62
3015755	3.18
3015935	7.94
10016902	7.10
3015835	13.56
3015933	8.93
3015938	8.29
10016947	16.02
10016949	7.50
10016951	15.86
10016952	8.93
10016953	9.03
10016954	16.78
10016955	10.36
3014723	16.13
2998684	5.93
2998686	5.71
2998685	12.39
10017021	8.88
10017090	16.57
3011969	14.47
3011869	5.64
3011973	8.93
3011965	8.19
3011975	8.21
3011979	19.60
3011873	6.91
3011865	7.34
3011879	11.71
3011878	13.03
